App;Participant;Mode;Condition;Session;Block;Keystrokes;Characters;Time_(s);MSD;Speed_(wpm);Error_rate_(%);KSPC
GraffitiExperiment;TT1;GRAFFITI;C00;S01;B01;84;26;166.330000;0;1.875789;0.000000;3.230769
GraffitiExperiment;TT1;GRAFFITI;C00;S01;B01;44;26;75.103000;0;4.154295;0.000000;1.692308
GraffitiExperiment;TT1;GRAFFITI;C00;S01;B01;62;26;94.374000;0;3.305995;0.000000;2.384615
GraffitiExperiment;TT1;GRAFFITI;C00;S01;B01;50;26;85.590000;0;3.645286;0.000000;1.923077
GraffitiExperiment;TT1;GRAFFITI;C00;S01;B01;42;26;74.334000;0;4.197272;0.000000;1.615385
GraffitiExperiment;TT2;GRAFFITI;C00;S02;B02;68;26;133.402000;0;2.338796;0.000000;2.615385
GraffitiExperiment;TT2;GRAFFITI;C00;S02;B02;42;26;87.939000;0;3.547914;0.000000;1.615385
GraffitiExperiment;TT2;GRAFFITI;C00;S02;B02;38;25;73.752000;1;4.067686;3.846154;1.520000
GraffitiExperiment;TT2;GRAFFITI;C00;S02;B02;52;26;88.570000;0;3.522637;0.000000;2.000000
GraffitiExperiment;TT2;GRAFFITI;C00;S02;B02;30;26;58.310000;0;5.350712;0.000000;1.153846
GraffitiExperiment;TT3;GRAFFITI;C00;S03;B01;1;1;0.000000;25;Infinity;96.153846;1.000000
GraffitiExperiment;TT3;GRAFFITI;C00;S03;B01;60;26;85.774000;0;3.637466;0.000000;2.307692
GraffitiExperiment;TT3;GRAFFITI;C00;S03;B01;38;26;51.570000;0;6.050029;0.000000;1.461538
GraffitiExperiment;TT3;GRAFFITI;C00;S03;B01;49;26;61.571000;0;5.067321;0.000000;1.884615
GraffitiExperiment;TT3;GRAFFITI;C00;S03;B01;34;26;49.692000;1;6.278677;3.846154;1.307692
GraffitiExperiment;TT4;GRAFFITI;C00;S04;B01;26;26;89.741000;6;3.476672;23.076923;1.000000
GraffitiExperiment;TT4;GRAFFITI;C00;S04;B01;28;26;99.936000;1;3.121998;3.846154;1.076923
GraffitiExperiment;TT4;GRAFFITI;C00;S04;B01;28;26;114.046000;0;2.735738;0.000000;1.076923
GraffitiExperiment;TT4;GRAFFITI;C00;S04;B01;28;26;79.164000;0;3.941185;0.000000;1.076923
GraffitiExperiment;TT4;GRAFFITI;C00;S04;B01;34;26;84.903000;0;3.674782;0.000000;1.307692
