App;Participant;Mode;Condition;Session;Block;Keystrokes;Characters;Time_(s);MSD;Speed_(wpm);Error_rate_(%);KSPC
GraffitiExperiment;TS1;GRAFFITI;C00;S05;B01;64;27;171.354000;1;1.890823;3.703704;2.370370
GraffitiExperiment;TS1;GRAFFITI;C00;S05;B01;83;26;171.540000;0;1.818818;0.000000;3.192308
GraffitiExperiment;TS1;GRAFFITI;C00;S05;B01;53;27;108.800000;1;2.977941;3.703704;1.962963
GraffitiExperiment;TS1;GRAFFITI;C00;S05;B01;56;28;104.640000;2;3.211009;7.142857;2.000000
GraffitiExperiment;TS1;GRAFFITI;C00;S05;B01;77;26;137.360000;0;2.271404;0.000000;2.961538
GraffitiExperiment;TS2;GRAFFITI;C00;S06;B01;64;26;122.882000;0;2.539021;0.000000;2.461538
GraffitiExperiment;TS2;GRAFFITI;C00;S06;B01;45;26;76.822000;0;4.061337;0.000000;1.730769
GraffitiExperiment;TS2;GRAFFITI;C00;S06;B01;43;26;68.216000;0;4.573707;0.000000;1.653846
GraffitiExperiment;TS2;GRAFFITI;C00;S06;B01;32;26;47.609000;1;6.553383;3.846154;1.230769
GraffitiExperiment;TS2;GRAFFITI;C00;S06;B01;52;26;68.435000;0;4.559071;0.000000;2.000000
GraffitiExperiment;TS3;GRAFFITI;C00;S07;B01;42;26;60.825000;0;5.129470;0.000000;1.615385
GraffitiExperiment;TS3;GRAFFITI;C00;S07;B01;34;26;41.636000;0;7.493515;0.000000;1.307692
GraffitiExperiment;TS3;GRAFFITI;C00;S07;B01;42;26;41.910000;0;7.444524;0.000000;1.615385
GraffitiExperiment;TS3;GRAFFITI;C00;S07;B01;48;26;45.375000;0;6.876033;0.000000;1.846154
GraffitiExperiment;TS3;GRAFFITI;C00;S07;B01;44;26;46.400000;0;6.724138;0.000000;1.692308
GraffitiExperiment;TS4;GRAFFITI;C00;S08;B01;46;28;185.356000;13;1.812728;46.428571;1.642857
GraffitiExperiment;TS4;GRAFFITI;C00;S08;B01;27;26;105.401000;9;2.960124;34.615385;1.038462
GraffitiExperiment;TS4;GRAFFITI;C00;S08;B01;55;26;256.109000;2;1.218231;7.692308;2.115385
GraffitiExperiment;TS4;GRAFFITI;C00;S08;B01;60;27;277.002000;6;1.169667;21.238938;2.222222
GraffitiExperiment;TS4;GRAFFITI;C00;S08;B01;66;26;292.352000;4;1.067207;15.384615;2.538462
